Proveedor	Articulo	Diametro	Seccion	Tipo	Llanta	Diseno	Telas	Stock	Transito	
BKT	40130	17.5			25	BKT	16	20	0	
DENGOM S.A.	380	175	65	R	14	FIRES RE740	0	1	0	
DIAMONDBACK	55186	295	80	MR	22.5	DBA87	18	398	0	
DIAMONDBACK	55182	295	80	KR	22.5	DRD09	18	182	0	
DIAMONDBACK	55184	295	80	MR	22.5	TR686	18	215	0	
DIAMONDBACK	55180	295	80	LR	22.5	TRD06	16	86	0	
DOUBLESTAR	62114	165	70	TR	13	DH03	4	587	0	
DOUBLESTAR	62045	165	70	TR	13	DH05	0	560	0	
DOUBLESTAR	62046	175	65	DH03	14	DH03	0	69	0	
DOUBLESTAR	62001	175	70	HR	14	DH03	0	82	0	
DOUBLESTAR	62002	185	60	HR	14	DH08	0	318	0	
DOUBLESTAR	62003	185	65	HR	14	DH03		1	0	
DOUBLESTAR	62004	185	70	HR	14	DH03	0	13	0	
DOUBLESTAR	62018	185	60	HR	15	DH03	0	288	0	
DOUBLESTAR	62019	185	65	HR	15	DH05	0	868	0	
DOUBLESTAR	62005	195	55	VR	15	DH03	0	984	0	
DOUBLESTAR	62006	195	60	VR	15	DH03	0	840	0	
DOUBLESTAR	62007	195	65	VR	15	DH03	0	106	0	
DOUBLESTAR	62008	205	65	VR	15	DH03	0	2	0	
DOUBLESTAR	62047	195	50	VR	16	DU05	0	164	0	
DOUBLESTAR	62009	195	55	VR	16	DH03	XL	163	0	
DOUBLESTAR	62010	205	55	VR	16	DH03	0	585	0	
DOUBLESTAR	62011	205	60	VR	16	DH03	0	14	0	
DOUBLESTAR	62113	205	75	R	16	DL01	0	26	0	
DOUBLESTAR	62038	245	70	QR	16	W01	8	44	0	
DOUBLESTAR	62024	245	75	SR	16	DS01	0	66	0	
DOUBLESTAR	62042	245	75	NR	16	T01	8	142	0	
DOUBLESTAR	62039	245	75	QR	16	W01	8	12	0	
DOUBLESTAR	62043	265	70	NR	16	T01	8	126	0	
DOUBLESTAR	62013	205	50	ZR	17	DH03	0	62	0	
DOUBLESTAR	62031	205	55	ZR	17	DSU02	0	40	0	
DOUBLESTAR	62014	215	50	ZR	17	DH03	0	2	0	
DOUBLESTAR	62032	215	50	ZR	17	DSU02	XL	30	0	
DOUBLESTAR	62015	215	55	ZR	17	DH03	0	16	0	
DOUBLESTAR	62020	215	60	HR	17	DSS02	0	116	0	
DOUBLESTAR	62016	225	45	ZR	17	DH03	0	450	0	
DOUBLESTAR	62025	225	65	TR	17	DS01	0	68	0	
DOUBLESTAR	62021	235	55	VR	17	DSS02	0	90	0	
DOUBLESTAR	62044	265	65	NR	17	T01	10	220	0	
DOUBLESTAR	62041	265	65	QR	17	W01	10	608	0	
DOUBLESTAR	62110	215	75	LR	17.5	DSR165	16	24	0	
DOUBLESTAR	62026	215	55	HR	18	DS01	0	8	0	
DOUBLESTAR	62022	225	55	VR	18	DSS02	0	150	0	
DOUBLESTAR	62017	235	45	ZR	18	DH03	XL	17	0	
